trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	response_hand	phase_duration_   0	phase_duration_   1	key_duration	onset_abs	duration
1	0.015824500005692244	stim	0		0	ambiguous	ambiguous	preferred	2.0	5.0		2.373371900059283	0.8538987999781966
1	0.8697232999838889	ambiguous	0	space	0						0.0633950000628829	3.2272707000374794	0.3046681999694556
1	1.1743914999533445	ambiguous	0	space	113						0.07395910006016493	3.531938900006935	0.8304600000847131
1	2.0048515000380576	stim	1		0	ambiguous	ambiguous	preferred	2.0	5.0		4.362398900091648	2.4933645999990404
1	4.498216100037098	ambiguous	1	space	0						0.11622329999227077	6.8557635000906885	1.1221011999296024
1	5.6203172999667	ambiguous	1	space	0						0.10572110000066459	7.977864700020291	1.4323322999989614
1	7.052649599965662	ambiguous	1	space	299						0.1531667000381276	9.410197000019252	-0.051252099918201566
2	7.00139750004746	stim	0		120	unambiguous	left	preferred	2.0	2.2826202792467787		9.35894490010105	2.0032502999529243
2	9.004647800000384	stim	1		136	unambiguous	left	preferred	2.0	2.2826202792467787		11.362195200053975	2.2749453999567777
3	11.279593199957162	stim	0		120	unambiguous	right	preferred	2.0	2.300680413967145		13.637140600010753	2.0030685000820085
3	13.28266170003917	stim	1		0	unambiguous	right	preferred	2.0	2.300680413967145		15.640209100092761	1.288311199983582
3	14.570972900022753	right	1	p	137						1.251807100023143	16.928520300076343	1.0146981999278069
4	15.58567109995056	stim	0		0	unambiguous	left	preferred	2.0	0.4166993067860769		17.94321850000415	0.3000018000602722
4	15.885672900010832	left	0	s	0						1.1991363000124693	18.243220300064422	1.4261957999551669
4	17.311868699966	left	0	p	118						0.1576463000383228	19.66941610001959	0.28364550007972866
4	17.595514200045727	stim	1		24	unambiguous	left	preferred	2.0	0.4166993067860769		19.953061600099318	0.5518834999529645
